city,state,Correction,Census_Name,State
Antlers,OK,Correction needed,Antlers city, Oklahoma
Madison Parish,LA,Correction needed,Addis town, Louisiana
Jemison,AL,Correction needed,Jemison city, Alabama
Sumrall,MS,Correction needed,Sumrall town, Mississippi
Ray City,GA,Correction needed,Gray city, Georgia
Berwick,LA,Correction needed,Berwick town, Louisiana
Independence,KY,Correction needed,Independence city, Kentucky
Cartwright,OK,Correction needed,Cartwright CDP, Oklahoma
Hot Springs,AR,Correction needed,Hot Springs city, Arkansas
Overton County,TN,No close match found,,
Green Forest,AR,Correction needed,Green Forest city, Arkansas
Bayonne,NJ,Correction needed,Bayonne city, New Jersey
Scottsbluff,NE,Correction needed,Scottsbluff city, Nebraska
Happy Valley,OR,Correction needed,Happy Valley city, Oregon
Espanola,NM,No close match found,,
Forest Hill,TX,Correction needed,Forest Hill city, Texas
Wilcox,AZ,No close match found,,
Delaware Township,PA,No close match found,,
Wallkill,NY,Correction needed,Wallkill CDP, New York
Pittsfield,NH,Correction needed,Pittsfield CDP, New Hampshire
Abbeville,SC,Correction needed,Abbeville city, South Carolina
Wolcott,IN,Correction needed,Wolcott town, Indiana
Westmoreland,TN,Correction needed,Westmoreland town, Tennessee
Eureka County,NV,Correction needed,Eureka CDP, Nevada
Leonia,NJ,No close match found,,
Harrison,AR,Correction needed,Harrison city, Arkansas
Alford,FL,Correction needed,Alford town, Florida
Bessemer City,NC,Correction needed,Bessemer City city, North Carolina
Amherst County,VA,Correction needed,Amherst town, Virginia
Holly Springs,GA,Correction needed,Holly Springs city, Georgia
Covington,KY,Correction needed,Covington city, Kentucky
Lee County,AL,No close match found,,
Graham County,NC,Correction needed,Graham city, North Carolina
Heath Township,MI,No close match found,,
Lonoke,AR,Correction needed,Lonoke city, Arkansas
New Berlin,WI,Correction needed,New Berlin city, Wisconsin
De Soto,MO,Correction needed,De Soto city, Missouri
Luray,VA,No close match found,,
Murray,UT,Correction needed,Murray city, Utah
Walnut,MS,Correction needed,Walnut town, Mississippi
Whiteville,NC,Correction needed,Whiteville city, North Carolina
Iron River,MI,Correction needed,Iron River city, Michigan
Stockton Lake,MO,No close match found,,
Lander,WY,Correction needed,Lander city, Wyoming
McDonald,TN,Correction needed,McDonald CDP, Tennessee
Winthrop,MA,No close match found,,
Texarkana,AR,Correction needed,Texarkana city, Arkansas
Plainville,KS,Correction needed,Plainville city, Kansas
Graham,TX,Correction needed,Graham city, Texas
Arleta,CA,No close match found,,
Bayard,NE,Correction needed,Bayard city, Nebraska
Flour Bluff,TX,No close match found,,
Florence,KY,Correction needed,Florence city, Kentucky
Calhoun County,SC,No close match found,,
Douglas County,GA,Correction needed,Douglas city, Georgia
Traphill,NC,No close match found,,
Ravenna Township,OH,Correction needed,Ravenna city, Ohio
Newton,NJ,Correction needed,Newton town, New Jersey
Olivia,MN,Correction needed,Olivia city, Minnesota
Danville,KY,Correction needed,Danville city, Kentucky
Carterville,IL,Correction needed,Carterville city, Illinois
Doyline,LA,No close match found,,
Bennington Township,MI,No close match found,,
Shiprock,NM,Correction needed,Shiprock CDP, New Mexico
Escambia County,FL,No close match found,,
Horizon City,TX,Correction needed,Horizon City city, Texas
Hailey,ID,Correction needed,Hailey city, Idaho
Canton,MS,Correction needed,Canton city, Mississippi
Las Vegas,NM,Correction needed,Las Vegas city, New Mexico
Malbis,AL,No close match found,,
Cairo,GA,No close match found,,
Davenport,FL,Correction needed,Davenport city, Florida
West Hanover Township,PA,No close match found,,
Duncan,OK,Correction needed,Duncan city, Oklahoma
Gobles,MI,Correction needed,Gobles city, Michigan
Nelsonville,OH,Correction needed,Nelsonville city, Ohio
Cottonwood,AL,Correction needed,Cottonwood town, Alabama
Gaines Township,PA,No close match found,,
Wetumpka,AL,Correction needed,Wetumpka city, Alabama
Celina,TX,Correction needed,Celina city, Texas
Conshohocken,PA,Correction needed,Conshohocken borough, Pennsylvania
Mifflin Township,OH,No close match found,,
Franklin,NY,No close match found,,
Webb City,MO,Correction needed,Webb City city, Missouri
Putnamville,IN,Correction needed,Putnamville CDP, Indiana
Hartford,VT,No close match found,,
Cullman County,AL,Correction needed,Cullman city, Alabama
Coeur dâ€™Alene,ID,Correction needed,Coeur d'Alene city, Idaho
Seguin,TX,Correction needed,Seguin city, Texas
Grantsboro,NC,Correction needed,Grantsboro town, North Carolina
Rocky Face,GA,No close match found,,
Juniata,NE,No close match found,,
Crosby,TX,Correction needed,Crosby CDP, Texas
Scott County,MS,Correction needed,Scott CDP, Mississippi
St. Paul,NE,Correction needed,St. Paul city, Nebraska
Galesburg,MI,Correction needed,Galesburg city, Michigan
Saugus,MA,Correction needed,Saugus CDP, Massachusetts
Greene County,TN,No close match found,,
Snook,TX,No close match found,,
Pflugerville,TX,Correction needed,Pflugerville city, Texas
Selawik,AK,Correction needed,Selawik city, Alaska
Chanute,KS,Correction needed,Chanute city, Kansas
Allenhurst,GA,Correction needed,Allenhurst city, Georgia
Guadalupe,CA,Correction needed,Guadalupe city, California
Butler,PA,Correction needed,Butler city, Pennsylvania
College Park,GA,Correction needed,College Park city, Georgia
Grantsville,UT,Correction needed,Grantsville city, Utah
Sanford,FL,Correction needed,Sanford city, Florida
Tonopah,NV,Correction needed,Tonopah CDP, Nevada
Sharon Hill,PA,Correction needed,Sharon Hill borough, Pennsylvania
Kakaako,HI,No close match found,,
Arkoma,OK,Correction needed,Arkoma town, Oklahoma
Falls Township,PA,No close match found,,
West Melbourne,FL,Correction needed,West Melbourne city, Florida
Miami Shores,FL,Correction needed,Miami Shores village, Florida
Normal,IL,Correction needed,Normal town, Illinois
Coconut Creek,FL,Correction needed,Coconut Creek city, Florida
Pearlington,MS,Correction needed,Pearlington CDP, Mississippi
Martelle,IA,Correction needed,Martelle city, Iowa
Peyton,CO,Correction needed,Peyton CDP, Colorado
Jefferson County,CO,No close match found,,
Weston,WV,Correction needed,Weston city, West Virginia
Oak Creek,WI,Correction needed,Oak Creek city, Wisconsin
Buena Park,CA,Correction needed,Buena Park city, California
Old Fields,WV,No close match found,,
Moriarty,NM,Correction needed,Moriarty city, New Mexico
Diggins,MO,No close match found,,
Humboldt County,CA,No close match found,,
Thompson,IA,Correction needed,Thompson city, Iowa
Mantua Township,NJ,No close match found,,
Davis,OK,No close match found,,
Yazoo City,MS,Correction needed,Yazoo City city, Mississippi
Hawkins,TX,Correction needed,Hawkins city, Texas
West Ashley,SC,No close match found,,
Mahoning Township,PA,No close match found,,
Gallatin County,KY,No close match found,,
Signal Hill,CA,Correction needed,Signal Hill city, California
Auburn,NY,Correction needed,Auburn city, New York
Newberry,FL,Correction needed,Newberry city, Florida
Looxahoma,MS,No close match found,,
Hillsborough,NJ,Correction needed,Hillsborough CDP, New Jersey
Middlesboro,KY,Correction needed,Middlesborough city, Kentucky
Niles Charter Township,MI,No close match found,,
Rogersville,TN,Correction needed,Rogersville town, Tennessee
Westwego,LA,Correction needed,Westwego city, Louisiana
Walton,NY,No close match found,,
Greene Township,PA,No close match found,,
Bolivar,TN,Correction needed,Bolivar city, Tennessee
Cleveland,TN,Correction needed,Cleveland city, Tennessee
Wentzville,MO,Correction needed,Wentzville city, Missouri
National City,CA,Correction needed,National City city, California
Evans County,GA,Correction needed,Evans CDP, Georgia
Salcha,AK,Correction needed,Salcha CDP, Alaska
Goetz,WI,No close match found,,
Indian Land,SC,No close match found,,
Sunman,IN,Correction needed,Sunman town, Indiana
Orangeville Township,MI,Correction needed,South Range village, Michigan
Augusta,ME,Correction needed,Augusta city, Maine
McCammon,ID,Correction needed,McCammon city, Idaho
Geary,OK,No close match found,,
Estero,FL,No close match found,,
Mingo County,WV,No close match found,,
Pocono Township,PA,No close match found,,
Golden Valley,NV,Correction needed,Golden Valley CDP, Nevada
Falmouth,ME,Correction needed,Falmouth CDP, Maine
Campbell County,TN,No close match found,,
Doral,FL,No close match found,,
Fort Belknap,MT,No close match found,,
Hopkinsville,KY,Correction needed,Hopkinsville city, Kentucky
Conway,AR,Correction needed,Conway city, Arkansas
DeKalb,IL,Correction needed,DeKalb city, Illinois
Leroy Township,OH,No close match found,,
Chelsea,IA,Correction needed,Chelsea city, Iowa
Grant County,KY,No close match found,,
Wisner,LA,Correction needed,Wisner town, Louisiana
Jackson County,GA,Correction needed,Jackson city, Georgia
Dorchester,MA,No close match found,,
Long Branch,NJ,Correction needed,Long Branch city, New Jersey
Henrico County,VA,No close match found,,
Knowlton Township,NJ,No close match found,,
Goodview,VA,No close match found,,
Gunnison,CO,Correction needed,Gunnison city, Colorado
Polk County,FL,No close match found,,
Commerce,CA,Correction needed,Commerce city, California
Waterloo,IA,Correction needed,Waterloo city, Iowa
North Bend,WA,Correction needed,North Bend city, Washington
Waynesboro,MS,Correction needed,Waynesboro city, Mississippi
Centerville,IA,Correction needed,Centerville city, Iowa
Warwick,RI,Correction needed,Warwick city, Rhode Island
Roanoke County,VA,Correction needed,Roanoke city, Virginia
Clines Corners,NM,No close match found,,
Forest Lake,MN,Correction needed,Forest Lake city, Minnesota
Mounds View,MN,Correction needed,Mounds View city, Minnesota
Culver,IN,Correction needed,Culver town, Indiana
Seekonk,MA,No close match found,,
Rushville,IN,Correction needed,Rushville city, Indiana
Rex,GA,No close match found,,
Laurel,MS,Correction needed,Laurel city, Mississippi
Lithonia,GA,Correction needed,Lithonia city, Georgia
Floyd County,KY,No close match found,,
Lame Deer,MT,Correction needed,Lame Deer CDP, Montana
Buffalo Grove,IL,Correction needed,Buffalo Grove village, Illinois
Basin,WY,No close match found,,
Iowa Falls,IA,Correction needed,Iowa Falls city, Iowa
Hermitage,MO,Correction needed,Hermitage city, Missouri
Simms,TX,No close match found,,
Waverly,GA,Correction needed,Waverly CDP, Georgia
Frankfort,KY,Correction needed,Frankfort city, Kentucky
Ferguson,MO,Correction needed,Ferguson city, Missouri
Estancia,NM,Correction needed,Estancia town, New Mexico
Canetuck,NC,No close match found,,
North Richmond,CA,Correction needed,North Richmond CDP, California
Anderson County,SC,Correction needed,Anderson city, South Carolina
North Platte,NE,Correction needed,North Platte city, Nebraska
Madison,TN,No close match found,,
Yorkville,IL,Correction needed,Yorkville city, Illinois
New Lenox,IL,No close match found,,
Vernon Parish,LA,No close match found,,
Rankin County,MS,No close match found,,
Burton,MI,Correction needed,Burton city, Michigan
Foster Township,PA,No close match found,,
Fordoche,LA,Correction needed,Fordoche town, Louisiana
Unadilla,NY,No close match found,,
South Hill,VA,Correction needed,South Hill town, Virginia
Dolgeville,NY,Correction needed,Dolgeville village, New York
Algona,WA,Correction needed,Algona city, Washington
Jonesboro,LA,Correction needed,Jonesboro town, Louisiana
Murphy,ID,Correction needed,Murphy CDP, Idaho
Bahama,NC,No close match found,,
Florence County,SC,Correction needed,Florence city, South Carolina
Keansburg,NJ,No close match found,,
Springfield,MA,Correction needed,Springfield city, Massachusetts
Crawford County,GA,Correction needed,Crawford city, Georgia
Riverside County,CA,Correction needed,Riverside city, California
Port Barrington,IL,Correction needed,Port Barrington village, Illinois
Sergeant Bluff,IA,Correction needed,Sergeant Bluff city, Iowa
Woolwine,VA,No close match found,,
Wagoner County,OK,Correction needed,Wagoner city, Oklahoma
Wood River,IL,Correction needed,Wood River city, Illinois
Perdido,AL,Correction needed,Perdido CDP, Alabama
Hallettsville,TX,Correction needed,Hallettsville city, Texas
Burlington,MA,Correction needed,Burlington CDP, Massachusetts
Priceville,AL,Correction needed,Priceville town, Alabama
Dandridge,TN,Correction needed,Dandridge town, Tennessee
Aragon,GA,Correction needed,Aragon city, Georgia
Madison County,MO,Correction needed,Madison city, Missouri
Cordova,TN,No close match found,,
Rio Rancho,NM,Correction needed,Rio Rancho city, New Mexico
Coachella,CA,Correction needed,Coachella city, California
Battle Ground,WA,Correction needed,Battle Ground city, Washington
Crofton,MD,Correction needed,Crofton CDP, Maryland
Mishawaka,IN,Correction needed,Mishawaka city, Indiana
Orofino,ID,Correction needed,Orofino city, Idaho
Prineville,OR,Correction needed,Prineville city, Oregon
Aniak,AK,No close match found,,
Powell County,KY,No close match found,,
Willis,VA,No close match found,,
Georgetown County,SC,Correction needed,Georgetown city, South Carolina
Greenville,TX,Correction needed,Greenville city, Texas
Roan Mountain,TN,Correction needed,Roan Mountain CDP, Tennessee
Stovall,NC,Correction needed,Stovall town, North Carolina
Ellis Township,MI,No close match found,,
Monroe,OH,Correction needed,Monroe city, Ohio
Lexington,MA,Correction needed,Lexington CDP, Massachusetts
Alvo,NE,No close match found,,
Madisonville,TN,Correction needed,Madisonville city, Tennessee
Sedro-Woolley,WA,Correction needed,Sedro-Woolley city, Washington
Marrero,LA,Correction needed,Marrero CDP, Louisiana
Plainsboro,NJ,No close match found,,
North Middleton,PA,No close match found,,
South Jordan,UT,Correction needed,South Jordan city, Utah
Beaver Dam,AZ,Correction needed,Beaver Dam CDP, Arizona
Chehalis,WA,Correction needed,Chehalis city, Washington
Winter Park,FL,Correction needed,Winter Park city, Florida
Walpole,NH,Correction needed,Walpole CDP, New Hampshire
Margate,FL,Correction needed,Margate city, Florida
Rogers,AR,Correction needed,Rogers city, Arkansas
Perry,GA,No close match found,,
Pueblo West,CO,Correction needed,Pueblo West CDP, Colorado
Belen,NM,No close match found,,
Beasley,TX,Correction needed,Beasley city, Texas
Shelley,ID,Correction needed,Shelley city, Idaho
Topsham,ME,Correction needed,Topsham CDP, Maine
Wellington,NV,No close match found,,
South Connellsville,PA,Correction needed,South Connellsville borough, Pennsylvania
Collinsville,IL,Correction needed,Collinsville city, Illinois
Boron,CA,Correction needed,Boron CDP, California
Dunkirk,IN,Correction needed,Dunkirk city, Indiana
Tillamook County,OR,Correction needed,Tillamook city, Oregon
Araphoe County,CO,Correction needed,Arapahoe CDP, Colorado
Hollywood,AL,Correction needed,Hollywood town, Alabama
Jasper,TN,Correction needed,Jasper town, Tennessee
Clear Lake Shores,TX,Correction needed,Clear Lake Shores city, Texas
Brown City,MI,Correction needed,Burton city, Michigan
Covington,TN,Correction needed,Covington city, Tennessee
Raymond,MS,Correction needed,Raymond city, Mississippi
Miami-Dade County,FL,No close match found,,
Lauderdale County,AL,No close match found,,
Sonora,CA,Correction needed,Sonora city, California
Decatur,AL,Correction needed,Decatur city, Alabama
Shorewood,IL,No close match found,,
Covington,VA,Correction needed,Covington city, Virginia
Crest Hill,IL,Correction needed,Crest Hill city, Illinois
Canton,GA,Correction needed,Canton city, Georgia
Lake Mead,NV,No close match found,,
Bonne Terre,MO,Correction needed,Bonne Terre city, Missouri
Evansville,WY,Correction needed,Evansville town, Wyoming
Hutchinson County,TX,No close match found,,
Sterling,VA,Correction needed,Sterling CDP, Virginia
Spencer,SD,Correction needed,Spencer city, South Dakota
Dewey Beach,DE,Correction needed,Dewey Beach town, Delaware
Tellico Plains,TN,Correction needed,Tellico Plains town, Tennessee
Discovery Bay,CA,Correction needed,Discovery Bay CDP, California
Clayton County,GA,Correction needed,Clayton city, Georgia
Broward County,FL,No close match found,,
Dunnellon,FL,Correction needed,Dunnellon city, Florida
Baxter Springs,KS,Correction needed,Baxter Springs city, Kansas
Fort Mohave,AZ,Correction needed,Fort Mohave CDP, Arizona
Lexington,KY,No close match found,,
Mifflin Township,PA,No close match found,,
Lebanon,PA,Correction needed,Lebanon city, Pennsylvania
Scappoose,OR,Correction needed,Scappoose city, Oregon
Hardy County,WV,No close match found,,
Spartanburg County,SC,Correction needed,Spartanburg city, South Carolina
Youngstown,OH,Correction needed,Youngstown city, Ohio
Pana,IL,No close match found,,
Wynne,AR,No close match found,,
Oak Forest,IL,Correction needed,Oak Forest city, Illinois
Mira Loma,CA,No close match found,,
Madison County,TN,No close match found,,
Swan Quarter,NC,Correction needed,Swan Quarter CDP, North Carolina
Doddridge County,WV,No close match found,,
Bridgewater,VA,Correction needed,Bridgewater town, Virginia
Taylor,MI,Correction needed,Taylor city, Michigan
Green County,KY,No close match found,,
Manitou Springs,CO,Correction needed,Manitou Springs city, Colorado
Edison,NJ,No close match found,,
Huber Heights,OH,Correction needed,Huber Heights city, Ohio
Knox County,TN,No close match found,,
Cowley County,KS,No close match found,,
Prewitt,NM,Correction needed,Prewitt CDP, New Mexico
Gordon County,GA,Correction needed,Gordon city, Georgia
Chisholm,MN,Correction needed,Chisholm city, Minnesota
Mott,ND,No close match found,,
Edmonds,WA,Correction needed,Edmonds city, Washington
Assumption Parish,LA,No close match found,,
Aurora,OR,Correction needed,Aurora city, Oregon
Somerset County,MD,Correction needed,Somerset town, Maryland
Cleveland,TX,Correction needed,Cleveland city, Texas
Roseville,MI,Correction needed,Roseville city, Michigan
Woonsocket,RI,Correction needed,Woonsocket city, Rhode Island
Kissimmee,FL,Correction needed,Kissimmee city, Florida
Simi Valley,CA,Correction needed,Simi Valley city, California
Bowlus,MN,Correction needed,Bowlus city, Minnesota
Hyde Park,NY,Correction needed,Hyde Park CDP, New York
Fairburn,GA,Correction needed,Fairburn city, Georgia
Beatrice,NE,Correction needed,Beatrice city, Nebraska
Duluth,GA,Correction needed,Duluth city, Georgia
Ducor,CA,Correction needed,Ducor CDP, California
Hooker,OK,Correction needed,Hooker city, Oklahoma
Jacksonboro,SC,Correction needed,Jacksonboro CDP, South Carolina
Platte County,MO,No close match found,,
Paramount,CA,Correction needed,Paramount city, California
Sugar Land,TX,Correction needed,Sugar Land city, Texas
Marion,SC,Correction needed,Marion city, South Carolina
Kayenta,AZ,Correction needed,Kayenta CDP, Arizona
Del Norte County,CA,No close match found,,
Dime Box,TX,Correction needed,Dime Box CDP, Texas
Romeoville,IL,Correction needed,Jerome village, Illinois
Carrollwood,FL,Correction needed,Carrollwood CDP, Florida
Cape Girardeau County,MO,Correction needed,Cape Girardeau city, Missouri
New Boston,NH,Correction needed,New Boston CDP, New Hampshire
Windham Township,OH,No close match found,,
Hendry County,FL,No close match found,,
Benton,KY,Correction needed,Benton city, Kentucky
Palmyra,IN,Correction needed,Palmyra town, Indiana
Guadalupe,AZ,Correction needed,Guadalupe town, Arizona
Polk County,AR,No close match found,,
Seabrook,TX,Correction needed,Seabrook city, Texas
Washington County,OH,No close match found,,
Malvern,PA,No close match found,,
DoÃ±a Ana County,NM,No close match found,,
Stewart County,TN,No close match found,,
Aiken County,SC,No close match found,,
Mount Pleasant Township,PA,Correction needed,Mount Pleasant borough, Pennsylvania
Laurens County,SC,Correction needed,Laurens city, South Carolina
Reedley,CA,Correction needed,Reedley city, California
Guymon,OK,Correction needed,Guymon city, Oklahoma
Arizona City,AZ,Correction needed,Arizona City CDP, Arizona
Uvalde,TX,Correction needed,Uvalde city, Texas
Jasper,FL,Correction needed,Jasper city, Florida
Myrtle Creek,OR,Correction needed,Myrtle Creek city, Oregon
Cooke County,TX,No close match found,,
O'Brien,CA,No close match found,,
Saline County,KS,No close match found,,
Safford,AZ,Correction needed,Safford city, Arizona
King,NC,No close match found,,
Siler City,NC,Correction needed,Siler City town, North Carolina
Marysville,OH,Correction needed,Marysville city, Ohio
Locust,NC,Correction needed,Locust city, North Carolina
Fort Apache Reservation,AZ,No close match found,,
Birch River,WV,Correction needed,Birch River CDP, West Virginia
Okaloosa Island,FL,No close match found,,
Naperville,IL,Correction needed,Naperville city, Illinois
West New York,NJ,Correction needed,West New York town, New Jersey
Towson,MD,Correction needed,Towson CDP, Maryland
Wimauma,FL,Correction needed,Wimauma CDP, Florida
Oconto,WI,Correction needed,Oconto city, Wisconsin
Harnett County,NC,No close match found,,
Silver Plume,CO,Correction needed,Silver Plume town, Colorado
Springville,UT,Correction needed,Springville city, Utah
Duncanville,TX,Correction needed,Duncanville city, Texas
Lowndes County,GA,No close match found,,
Star,ID,No close match found,,
Monterey Township,MI,No close match found,,
Lewis County,WV,No close match found,,
Falfurrias,TX,Correction needed,Falfurrias city, Texas
Sanders,AZ,Correction needed,Sanders CDP, Arizona
Coeburn,VA,Correction needed,Coeburn town, Virginia
Blue Hill,ME,Correction needed,Blue Hill CDP, Maine
Smith County,TX,No close match found,,
Thomaston,GA,Correction needed,Thomaston city, Georgia
Albion,MI,Correction needed,Albion city, Michigan
Jackson Township,PA,No close match found,,
Lake Placid,FL,Correction needed,Lake Placid town, Florida
Guernsey County,OH,No close match found,,
Saranac Lake,NY,Correction needed,Saranac Lake village, New York
Springfield,VA,Correction needed,Springfield CDP, Virginia
Warner Robins,GA,Correction needed,Warner Robins city, Georgia
Chaparral,NM,Correction needed,Chaparral CDP, New Mexico
Toccoa,GA,Correction needed,Toccoa city, Georgia
Port Neches,TX,Correction needed,Port Neches city, Texas
Beeville,TX,Correction needed,Beeville city, Texas
Bradley,WV,Correction needed,Bradley CDP, West Virginia
McLean,VA,Correction needed,McLean CDP, Virginia
Fargo,ND,No close match found,,
Cave City,KY,Correction needed,Cave City city, Kentucky
Flossmoor,IL,No close match found,,
Mason,OH,No close match found,,
Lebanon,OH,Correction needed,Lebanon city, Ohio
Hancock County,IL,No close match found,,
Newport,ME,Correction needed,Newport CDP, Maine
Vinton,TX,Correction needed,Kirvin town, Texas
Georgetown,SC,Correction needed,Georgetown city, South Carolina
Hillsboro,OH,Correction needed,Hillsboro city, Ohio
West Brattleboro,VT,Correction needed,West Brattleboro CDP, Vermont
Bolingbrook,IL,Correction needed,Bolingbrook village, Illinois
Madisonville,OH,Correction needed,Madison village, Ohio
Douglas County,MO,No close match found,,
Monongahela,PA,Correction needed,Monongahela city, Pennsylvania
Strasburg,VA,Correction needed,Strasburg town, Virginia
Fulton County,IL,Correction needed,Fulton city, Illinois
Waterloo,SC,Correction needed,Waterloo town, South Carolina
Summersville,WV,Correction needed,Summersville city, West Virginia
Sonoma County,CA,Correction needed,Sonoma city, California
Sundance,WY,Correction needed,Sundance town, Wyoming
Lorain,OH,Correction needed,Lorain city, Ohio
Rochester,MN,Correction needed,Rochester city, Minnesota
Greenfield,IN,Correction needed,Greenfield city, Indiana
Green Mountain,NC,No close match found,,
Mapleton,ND,Correction needed,Mapleton city, North Dakota
Elmore County,AL,Correction needed,Elmore town, Alabama
St. George,UT,Correction needed,St. George city, Utah
Clemmons,NC,No close match found,,
Rouseville,PA,Correction needed,Houserville CDP, Pennsylvania
Yakima County,WA,Correction needed,Yakima city, Washington
Otsego,MN,Correction needed,Otsego city, Minnesota
Lawrence County,AR,No close match found,,
Hazle Township,PA,No close match found,,
Key Largo,FL,Correction needed,Key Largo CDP, Florida
Ethete,WY,Correction needed,Ethete CDP, Wyoming
Eutawville,SC,Correction needed,Eutawville town, South Carolina
Clinton County,OH,No close match found,,
Richland Hills,TX,Correction needed,Richland Hills city, Texas
Ludlow,VT,No close match found,,
Miami Springs,FL,Correction needed,Miami Springs city, Florida
Monroe Township,OH,Correction needed,Monroe city, Ohio
Pryor,MT,Correction needed,Pryor CDP, Montana
Cut Off,LA,Correction needed,Cut Off CDP, Louisiana
Buhl,ID,No close match found,,
Oakley,CA,Correction needed,Oakley city, California
Blacksburg,VA,Correction needed,Blacksburg town, Virginia
Bangor Township,MI,Correction needed,Bangor city, Michigan
Albemarle County,VA,No close match found,,
Powell,WY,Correction needed,Powell city, Wyoming
Milledgeville,GA,Correction needed,Milledgeville city, Georgia
Englewood,NJ,Correction needed,Englewood city, New Jersey
Strongs Prairie,WI,No close match found,,
North Waterboro,ME,No close match found,,
Washington County,TN,No close match found,,
Springville,AL,Correction needed,Springville city, Alabama
Middle Smithfield Township,PA,No close match found,,
Wawarsing,NY,No close match found,,
Elk City,OK,Correction needed,Elgin city, Oklahoma
Walled Lake,MI,Correction needed,Walled Lake city, Michigan
Utica,NY,No close match found,,
Mt. Airy,GA,No close match found,,
York County,SC,No close match found,,
Grundy County,TN,No close match found,,
Rusk County,TX,No close match found,,
Garfield County,OK,No close match found,,
Weatherford,OK,Correction needed,Weatherford city, Oklahoma
Elgin,TX,No close match found,,
Anne Arundel County,MD,No close match found,,
Adams,OR,No close match found,,
Earlimart,CA,Correction needed,Earlimart CDP, California
Riverdale Park,MD,Correction needed,Riverdale Park town, Maryland
Bernalillo County,NM,Correction needed,Bernalillo town, New Mexico
Destin,FL,Correction needed,Destin city, Florida
Ahoskie,NC,Correction needed,Ahoskie town, North Carolina
Sequim,WA,Correction needed,Sequim city, Washington
Brinnon,WA,Correction needed,Brinnon CDP, Washington
Chillicothe,TX,Correction needed,Chillicothe city, Texas
Irwin County,GA,No close match found,,
Greenacres,FL,Correction needed,Greenacres city, Florida
Rembert,SC,Correction needed,Rembert CDP, South Carolina
Mineral City,OH,Correction needed,Medina city, Ohio
Baker,LA,No close match found,,
Plains Township,PA,Correction needed,Plains CDP, Pennsylvania
Excelsior Springs,MO,Correction needed,Excelsior Springs city, Missouri
Mountain View,NC,Correction needed,Mountain View CDP, North Carolina
Warrington,FL,Correction needed,Warrington CDP, Florida
Springfield Township,OH,Correction needed,Springfield city, Ohio
Black Canyon City,AZ,Correction needed,Black Canyon City CDP, Arizona
Lumberton,TX,Correction needed,Lumberton city, Texas
Angola,IN,Correction needed,Angola city, Indiana
McIntosh,OK,No close match found,,
Bristol,CT,Correction needed,Bristol city, Connecticut
Decatur,IL,Correction needed,Decatur city, Illinois
Windsor,WI,No close match found,,
Decatur,AR,Correction needed,Decatur city, Arkansas
Inwood,NY,Correction needed,Inwood CDP, New York
Southlake,TX,Correction needed,Southlake city, Texas
Paragould,AR,Correction needed,Paragould city, Arkansas
Rockdale,TX,Correction needed,Rockdale city, Texas
Ð•asley,SC,No close match found,,
Morrison,IL,Correction needed,Morrison city, Illinois
Johnstown,CO,Correction needed,Johnstown town, Colorado
Oregon,WI,No close match found,,
Kingsland,TX,Correction needed,Kingsland CDP, Texas
Senatobia,MS,Correction needed,Senatobia city, Mississippi
Louisville,CO,Correction needed,Louisville city, Colorado
Castro Valley,CA,Correction needed,Castro Valley CDP, California
Gillsville,GA,Correction needed,Gillsville city, Georgia
Hebbronville,TX,Correction needed,Hebbronville CDP, Texas
Vancleave,MS,Correction needed,Vancleave CDP, Mississippi
Etowah County,AL,No close match found,,
Sherwood,AR,Correction needed,Sherwood city, Arkansas
Saddle Ridge,WY,No close match found,,
Fawn Township,PA,No close match found,,
Mt. Juliet,TN,No close match found,,
Derry Township,PA,No close match found,,
Winnsboro,TX,Correction needed,Winnsboro city, Texas
Gwinnett County,GA,No close match found,,
Jordan Township,PA,No close match found,,
Dripping Springs,TX,Correction needed,Dripping Springs city, Texas
Jacksonville,NC,Correction needed,Jacksonville city, North Carolina
Lafayette,CO,Correction needed,Lafayette city, Colorado
Tell City,IN,Correction needed,Mitchell city, Indiana
Forest Hills,PA,Correction needed,Forest Hills borough, Pennsylvania
Thurston County,WA,No close match found,,
Miramar Beach,FL,Correction needed,Miramar Beach CDP, Florida
Uniontown,AL,Correction needed,Union town, Alabama
Chillicothe,OH,Correction needed,Chillicothe city, Ohio
Niagara,NY,No close match found,,
Shawano,WI,Correction needed,Shawano city, Wisconsin
Dallas,GA,Correction needed,Dallas city, Georgia
Redan,GA,Correction needed,Redan CDP, Georgia
Putnam County,WV,No close match found,,
Buffalo,OK,Correction needed,Buffalo town, Oklahoma
Stafford County,VA,No close match found,,
Cordelia,CA,No close match found,,
Locust Grove,OK,Correction needed,Locust Grove town, Oklahoma
Mariposa County,CA,Correction needed,Mariposa CDP, California
Rockwell,NC,Correction needed,Rockwell town, North Carolina
Ridgeway,VA,Correction needed,Ridgeway town, Virginia
Amado,AZ,Correction needed,Amado CDP, Arizona
Raeford,NC,Correction needed,Raeford city, North Carolina
Seeley,CA,Correction needed,Seeley CDP, California
Woodsboro,TX,Correction needed,Woodsboro town, Texas
Carbondale,IL,Correction needed,Carbondale city, Illinois
Hayden,AL,Correction needed,Hayden town, Alabama
Lombard,IL,No close match found,,
Brookings,OR,Correction needed,Brookings city, Oregon
Kiln,MS,No close match found,,
Bluffdale,UT,Correction needed,Bluffdale city, Utah
Kyle,TX,No close match found,,
